,Supermarket,Date,Username,Location,Tweet,Score-minus,Score-neutral,Score-plus
0,Lidl,2022-09-16 09:36:37+00:00,Decor13Art,,"@franello_BF Ich frage mich, ob es in 5 Jahren überhaupt noch Lidl in Deutschland gibt 🤨",0.0,1.0,0.0
1,Lidl,2022-09-16 09:36:17+00:00,TishaMoriah,,"Three of my Warburton crumpets had mould on them, I purchased them on Wednesday @LidlGB",0.0,1.0,0.0
2,Lidl,2022-09-16 09:35:50+00:00,munfunchal,Funchal,CMF aprova apoios financeiros de 33 mil euros para a Educação e de 134 mil euros para o Desporto. Na reunião semanal foi decidido manter o parecer desfavorável à Instalação da Lidl no Largo Severiano Ferraz mas a autarquia já aprovou 3 projetos da LIDL em zonas alternativas. https://t.co/zWD9OoMt7x,0.051,0.949,0.0
3,Lidl,2022-09-16 09:35:23+00:00,EdoMazzu,"Roma, Lazio",@fabrizio_wasabi @InfoAtac L'angolo rotture della Lidl,0.0,1.0,0.0
4,Lidl,2022-09-16 09:35:22+00:00,ATGBrokers,on Earth! ,News (Lidl begeistert am Freitag (16.9.) mit diesen krassen Sonderdeals - TAG24) has been published on https://t.co/RaBjl5DDcP - https://t.co/YXMGhZ8HPZ https://t.co/6IKG3ywlhT,0.0,1.0,0.0
5,Lidl,2022-09-16 09:34:07+00:00,Scottoriordan_1,Paradise,@lukethoas2011 @LidlGB Lad there’s one fly grow a pair a bollocks,0.0,1.0,0.0
6,Lidl,2022-09-16 09:32:56+00:00,JioH501,Roma,"Non è la metro, è l'angolo rotture della lidl https://t.co/KneB2GQJgc",0.0,1.0,0.0
7,Lidl,2022-09-16 09:32:42+00:00,AlextheCatte,,"@DrakoNSFW Unf, gonna suck his balls while he’s dripping in Lidl. 🥰",0.225,0.775,0.0
8,Lidl,2022-09-16 09:32:42+00:00,lukethoas2011,,Exactly why you don’t eat the bakery at Lidl 😂🤮@LidlGB https://t.co/Eow1JJn334,0.0,1.0,0.0
9,Lidl,2022-09-16 09:32:41+00:00,MScurka,,"@PeterKnazeje To se ani moc nedivím. Když jsem byl v Ženevě, tak tam mělo Aldi dost příznivé ceny, oproti tomu jak je ve Švýcarsku zvykem, takže jestli takto vystupuje i v Anglii :). Lidl do toho šlape v Evropě ještě víc snad :), číslo 1 si v Česku zaslouží :)",0.0,0.935,0.065
10,Lidl,2022-09-16 09:32:31+00:00,nadia_abarchanm,"Tarifa, Spain","aki d chill esperando mi cita en secretaria mirando cupones del lidl y jugando al candy, 58 años tngo",0.0,1.0,0.0
11,Lidl,2022-09-16 09:31:34+00:00,rgis_ireland,Ireland,"CheckoutIreland: Discounter @lidl_ireland has been named 'Drinks Retailer of the Year' at the Irish Quality Food Awards 2022.

https://t.co/JXqAHfaOde",0.0,0.857,0.143
12,Lidl,2022-09-16 09:31:23+00:00,TrkogluHalil,,"@SONSUZASK____ Türkiyeden gelen incirler Almanyada Tanesi 29-49 cent arasında satılıyor.7'li paket 2,45 € satılıyor Lidl'de.🤔🇹🇷",0.0,1.0,0.0
13,Lidl,2022-09-16 09:30:47+00:00,anxrchiex,she/elle • 18 • 🇵🇹,Je me prépare pour tenter de dégoter la gamme vege de lidl je vous en redirais des nouvelles 👍,0.0,1.0,0.0
14,Lidl,2022-09-16 09:30:45+00:00,meowmeowmadi,they/she,got hit in the leg with a mini trolley in lidl ?,0.0,1.0,0.0
15,Lidl,2022-09-16 09:30:32+00:00,Ajarncom,Thailand,I shall certainly be slipping in half a dozen cans of shaving gel and anti-perspirant though. That's well worth the effort. It's worth mentioning though that Aldi and Lidl are cheaper than Tesco but I still can't be bothered with lugging back food this time around.,0.0,0.816,0.184
